Prod_Desc_norm,ocorrencias,exemplos,subcats
bucha de reducao pvc soldavel curta 25 x 20mm,3,['Bucha de redução pvc soldável curta 25 x 20mm'],['Canos e Conexões Hidráulicas']
bucha de reducao pvc soldavel longa 50 x 25mm,3,['Bucha de redução pvc soldável longa 50 x 25mm'],['Canos e Conexões Hidráulicas']
rolo de espuma 9cm,3,"['Rolo de espuma 9cm', 'rolo de espuma 9cm']",['Ferramentas para Jardim']
rele sequencia de fase,3,"['RELE SEQUENCIA DE FASE', 'RELÉ SEQUÊNCIA DE FASE', 'Relé sequência de fase']",['Automação Industrial']
rele subtensao e sobretensao monofasica,3,"['RELE SUBTENSÃO E SOBRETENSÃO MONOFÁSICA', 'RELÉ SUBTENSÃO E SOBRETENSÃO MONOFÁSICA', 'Relé subtensão e sobretensão monofásica']",['Automação Industrial']
rele subtensao e sobretensao trifasico,3,"['RELE SUBTENSÃO E SOBRETENSÃO TRIFÁSICO', 'RELÉ SUBTENSÃO E SOBRETENSÃO TRIFÁSICO', 'Relé subtensão e sobretensão trifásico']",['Automação Industrial']
cabo flexivel 16mm2,3,"['CABO FLEXÍVEL 16MM²', 'Cabo flexível 16mm²']",['Cabos Elétricos']
reducao excentrica dn100x50mm de pvc rigido branco serie normal para esgoto e agua pluvial conforme nbr 5688,3,"['Redução Excêntrica, DN100x50mm, de PVC Rígido Branco Série Normal para Esgoto e Água Pluvial, conforme NBR 5688']","['Tomadas, interruptores e plugues']"
registro de gaveta branco 22mm cpvc agua quente,3,"['Registro de Gaveta, Branco 22mm, CPVC, Água Quente']",['Registros e Bases']
registro de pressao pvc soldavel 25mm,3,['Registro de pressão pvc soldável 25mm'],['Registros e Bases']
registro esfera 50mm,3,"['Registro esfera 50mm', 'registro esfera 50mm']",['Registros e Bases']
rele falta de fase,3,"['RELE FALTA DE FASE', 'RELÉ FALTA DE FASE', 'Relé falta de fase']",['Automação Industrial']
rele fotoeletrico,3,"['Relé Fotoelétrico', 'Relé fotoelétrico']",['Equipamentos']
cabo de baixa tensao 120mm2 0 6 1kv isolacao em epr 90o livre de halogenio instalacao tipo b1,3,"['Cabo de baixa tensão (120mm²) - 0,6/1kV - Isolação em EPR/90º / Livre de halogênio - Instalação tipo B1']","['Tomadas, interruptores e plugues']"
