y_true	y_pred	pred_confidence
Outros - Banheiros	Tomadas, interruptores e plugues	0.003988466179973125
Outros - Pisos e Revestimentos	Cabos Elétricos	0.00390462538317848
Artefatos de Concreto	Formas	0.005943829309444404
Outros - Ferramentas	Acessórios de Portas e Janelas	0.01585496334053971
Outros - Materiais de Construção	Telhas	0.052820685119138046
Cabos e Fios Elétricos	Ferramentas Manuais	0.005136019542565138
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.1263394278413336
Cabos Elétricos	Lâmpadas	0.004985813801597717
Outros - Ferragens	Outros - Materiais de Construção	0.008421671795063822
Tomadas, interruptores e plugues	Chapas e Painéis	0.006121993145586221
